studentnummer,plaats,naam_vooropleiding,geslacht,,was_aanwezig,advies,aantal_weigeringen,gewogen_gemiddelde,komt_studeren,reden_stoppen,voorkeursopleiding,competenties,capaciteiten,intr_motivatie,extr_motivatie,is_mbo_deficient,Ondernemen in combinatie met studie,Nadere oriëntatie op een Ad-opleiding in ’s-Hertogenbosch,Nadere oriëntatie op een Ad opleiding in Roosendaal,persoonlijk_bijspijker_advies,"Functiebeperking, namelijk",Dyslexie,Topsport in combinatie met studie,Chronische ziekte,Problemen in de persoonlijke sfeer,"Ander onderwerp, namelijk",Financiële problemen in relatie tot studeren,Studiekeuze,Extra gesprek met opleiding,Bijscholing Engels,Peermentoring (specifiek ter ondersteuning van ASS & AD(H)D),Aanmelden_voor_verkort_opleidingstraject,Hyperrr - Peermentoring (specifiek door opleiding aangeboden),MBO - Oefenen Nederlandse Taal,MBO - Peermentoring (specifiek ter ondersteuning van ASS & AD(H)D),MBO - Peermentoring (ter ondersteuning in het algemeen door hogerejaars student van dezelfde opleiding),Traject opleiding
2000000,DONGEN,Applicatieontwikkelaar,m,1996,Ja,2,0,16,Ja,,,5,7,7,6,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Verkort traject
2000001,THOLEN,Applicatie - en mediaontwikkelaar,m,1998,Ja,2,0,17,Ja,,,6,7,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000002,MADE,Ondernemer detailhandel,v,1997,,2,0,17,-,Uitgeschreven voor opleiding.,Bedrijfseconomie,7,5,6,6,Ja,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Regulier traject
2000003,BREDA,HAVO NIEUW Natuur en Gezondheid,m,1999,Ja,1,1,13,Ja,,,6,6,7,7,Nee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000004,BREDA,HAVO NIEUW Economie en Maatschappij,m,1999,Ja,2,1,18,Ja,,,7,7,8,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000005,BREDA,Elektrotechniek,m,1992,,0,0,,-,Uitgeschreven voor opleiding.,,5,7,6,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000006,OOSTERHOUT NB,Mediadeveloper,m,1995,Ja,2,0,18,-,Uitgeschreven voor opleiding.,,6,4,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Verkort traject
2000007,Heemstede,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1998,,0,0,,-,Uitgeschreven voor opleiding.,,6,5,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000008,BERGEN OP ZOOM,VWO NIEUW Economie en Maatschappij,m,1998,Ja,2,0,18,Ja,,,7,8,7,7,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000009,BERGEN OP ZOOM,HAVO NIEUW Natuur en Gezondheid,m,2000,Ja,2,0,18,Ja,,,7,8,6,6,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-
2000010,GORINCHEM,Ondernemer horeca,m,1995,Ja,0,0,,-,Uitgeschreven voor opleiding.,,5,6,6,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000011,BREDA,Gaming Gamedesigner,m,1993,Ja,2,1,18,Ja,,,6,7,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000012,RIJSBERGEN,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,2000,Ja,1,0,16,Ja,,,5,6,7,7,Nee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000013,RIJEN,Applicatieontwikkelaar,m,1998,Ja,2,1,18,Ja,,,5,5,8,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Verkort traject
2000014,BREDA,Colloquium Doctum,m,1991,Ja,2,0,18,Ja,,,6,6,7,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000015,GORINCHEM,Applicatieontwikkelaar,m,1997,Ja,1,1,13,-,,,7,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000016,TETERINGEN,HAVO NIEUW Natuur en Techniek,m,1998,Ja,1,0,15,Ja,,,6,8,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000017,ROOSENDAAL,HAVO NIEUW Natr en Tech+Natr en Gezondh,v,1999,,1,0,,-,Uitgeschreven voor opleiding.,Technische Informatica,7,7,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000018,BERGEN OP ZOOM,HAVO NIEUW Economie en Maatschappij,m,1999,Ja,1,0,15,Ja,,,6,6,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-
2000019,ZEIST,HAVO NIEUW Natuur en Techniek,v,2000,Ja,2,0,18,-,Uitgeschreven voor opleiding.,,7,4,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
